Unnamed: 0,capacity,days,mileage,ave_Tem,mean_Q,median_Q,std_Q,delta_Q,mean_dV,median_dV,std_dV,delta_dV,mean_current,max_current,cha_end_v,t_min,t_min_mean
902,143.4722656,1108.291655,45093.9,30.56412104,10.8179886,10.82086605,5.66672042,20.74327472,46.78378378,47.0,1.919109241,11,104.427027,106.2,4.22,34,32.98648649
903,141.6353778,1110.28588,45709.8,30.56998158,3.503379689,2.208710386,3.720514729,11.80555728,48.46666667,49.0,3.679371927,23,100.0577778,114.6,4.206,34,32.84444444
904,141.7058723,1111.296053,45972.1,30.80529595,9.954590822,10.26282697,4.48959946,17.31013479,46.25,45.0,3.820898416,16,97.68235294,119.4,4.207,33,32.80882353
905,143.1997024,1112.285706,46217.2,30.21996466,5.623550929,5.1179669,4.361903842,13.38830429,49.32,50.0,4.370080091,28,103.732,119.8,4.205,34,33.02
906,138.8222002,1119.284618,47937.1,30.00552486,11.65660296,12.09942021,5.615952253,20.67691548,50.89855072,51.0,2.37221188,13,112.2043478,119.6,4.219,33,33.91304348
907,141.9134515,1120.279757,48220.2,29.97647059,11.15052195,10.87026327,6.164056135,22.63254218,50.7972973,51.0,1.945054225,14,113.4878378,119.4,4.206,33,33.58108108
908,138.3504286,1121.258403,48456.5,29.65572233,10.60387919,10.49327676,5.696940231,21.09406493,51.15384615,51.0,1.939316051,14,118.6615385,119.5,4.219,28,29.15384615
909,146.5343881,1123.291481,49060.9,29.32446809,10.99289636,10.94709088,5.708510608,21.33520106,52.15151515,52.0,1.811097309,11,118.5590909,119.5,4.22,32,33.09090909
910,138.8751716,1124.282164,49190.7,28.47542533,10.23376923,11.22894731,4.631904228,16.85289056,45.87323944,44.0,4.104032979,18,90.31267606,119.5,4.22,26,26.98591549
911,125.418166,1126.27081,49441.2,30.6258427,10.51310759,10.47412576,5.593766595,20.70232473,51.41538462,52.0,3.032603896,17,118.0476923,119.5,4.216,33,33.81538462
912,139.8427411,1136.219421,51760.0,29.9005425,10.33358622,10.19784724,5.444117747,20.43480341,53.07692308,54.0,3.287775457,20,118.0615385,119.4,4.22,33,33.84615385
913,142.8897298,1137.277396,52046.6,30.60275229,10.66125817,10.5655376,5.720833565,21.16463236,51.54545455,52.0,2.456789098,12,118.4090909,119.6,4.22,29,30.48484848
914,141.1803821,1138.270174,52362.5,30.20149254,10.78061594,10.74707718,5.581303352,20.91704904,51.76923077,52.0,2.60631913,15,118.3907692,119.5,4.212,34,34.0
915,137.5046205,1139.28,52653.1,31.66666667,10.7642643,10.51672619,5.77485345,22.27917012,52.31818182,53.0,2.499448975,14,117.4106061,119.4,4.201,35,34.83333333
916,135.5197708,1143.277234,53691.5,29.53125,10.55268828,10.48305018,5.712273909,20.93698366,54.16923077,55.0,2.29091336,14,118.6369231,119.6,4.207,31,32.15384615
917,132.6200135,1144.266516,53814.2,30.16241299,9.791993727,9.511614216,5.554597101,20.45674472,53.47619048,53.0,3.043896536,20,118.0809524,119.4,4.2,28,29.71428571
918,137.7683555,1149.283692,55073.0,31.08770344,10.95564436,11.05047283,5.667867894,20.63023449,51.86363636,52.0,2.354147621,16,111.7363636,119.1,4.207,35,34.51515152
919,139.4660435,1151.277025,55499.9,30.40733591,10.36933797,10.28850718,5.568386727,20.61322388,53.125,53.0,1.798436821,11,118.225,119.5,4.208,34,34.234375
920,135.8083716,1156.291354,56512.6,30.81864754,10.55295646,10.47318409,6.159710123,20.83620323,50.10526316,50.0,2.60353478,15,103.8526316,119.5,4.2,34,34.07894737
921,136.4741683,1160.2839,56989.1,31.12784091,7.593838026,7.24360013,5.339097173,18.40428096,52.42105263,53.0,2.331683891,15,114.2912281,119.1,4.22,36,35.73684211
922,137.6702454,1161.268113,57114.5,31.55865385,10.40537865,10.23230019,5.540842865,20.70210593,54.28571429,54.0,1.820767076,14,118.4984127,119.6,4.22,36,36.50793651
923,146.3300075,1162.294595,57409.3,31.65912409,10.80671844,10.71829045,5.597930894,21.12017028,52.78461538,53.0,2.115818137,13,118.2676923,119.3,4.22,34,34.03076923
924,143.7461032,1163.285625,57634.3,30.90545455,10.91494427,10.81691554,5.58162269,21.11918016,52.95384615,53.0,2.158566257,15,118.3092308,119.7,4.22,35,35.0
