,x,SOC (%)
1699,1699,16
1700,1700,18
1701,1701,21
1702,1702,23
1703,1703,25
1704,1704,27
1705,1705,29
1706,1706,31
1707,1707,33
1708,1708,35
1709,1709,37
1710,1710,40
1711,1711,42
1712,1712,44
1713,1713,46
1714,1714,48
1715,1715,50
1716,1716,52
1717,1717,54
1718,1718,57
1719,1719,59
1720,1720,61
1721,1721,64
1722,1722,66
1723,1723,68
1724,1724,71
1725,1725,73
1726,1726,75
1727,1727,77
1728,1728,79
1729,1729,80
1730,1730,82
1731,1731,83
1732,1732,84
1733,1733,85
1734,1734,86
1735,1735,87
1736,1736,88
1737,1737,89
1738,1738,90
1739,1739,91
1740,1740,92
1741,1741,93
1742,1742,94
1743,1743,95
1744,1744,95
1745,1745,96
1746,1746,96
1747,1747,97
1748,1748,97
1749,1749,97
1750,1750,97
1751,1751,98
1752,1752,98
