,Max cell voltage (V),Min cell voltage (V),Cell voltage range (V)
253,4.15,4.107,0.04300000000000015
254,4.151,4.108,0.04300000000000015
255,4.152,4.109,0.04300000000000015
256,4.153,4.111,0.041999999999999815
257,4.154,4.112,0.041999999999999815
258,4.156,4.113,0.04299999999999926
259,4.157,4.114,0.04300000000000015
260,4.158,4.115,0.04300000000000015
261,4.159,4.116,0.04300000000000015
262,4.16,4.118,0.041999999999999815
263,4.162,4.119,0.04300000000000015
264,4.163,4.12,0.04300000000000015
265,4.164,4.121,0.04299999999999926
266,4.165,4.122,0.04300000000000015
267,4.167,4.123,0.043999999999999595
268,4.168,4.124,0.04400000000000048
269,4.169,4.126,0.04299999999999926
270,4.17,4.127,0.04300000000000015
271,4.171,4.128,0.04300000000000015
272,4.173,4.13,0.04300000000000015
273,4.174,4.131,0.04300000000000015
